power.draw [W], utilization.gpu [%], utilization.memory [%]
194.37 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.79 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
193.89 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.89 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
193.89 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.79 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
194.56 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.89 W, 99 %, 96 %
193.70 W, 99 %, 96 %
193.70 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.24 W, 99 %, 96 %
194.24 W, 99 %, 96 %
194.14 W, 99 %, 96 %
194.14 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.14 W, 99 %, 96 %
194.14 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.72 W, 99 %, 96 %
194.72 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.62 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.18 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.52 W, 99 %, 96 %
194.52 W, 99 %, 96 %
195.04 W, 99 %, 96 %
195.04 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.37 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.85 W, 99 %, 96 %
194.94 W, 99 %, 96 %
193.98 W, 99 %, 96 %
193.98 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.08 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.27 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.65 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.94 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.33 W, 99 %, 96 %
194.46 W, 99 %, 96 %
194.46 W, 99 %, 96 %
195.04 W, 99 %, 96 %
195.04 W, 99 %, 96 %
195.13 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.56 W, 99 %, 96 %
194.91 W, 99 %, 96 %
195.13 W, 99 %, 96 %
195.13 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
194.75 W, 99 %, 96 %
