rhs       -----------start-------------
CPU8  raw=34863054848 ena=220964294 run=220964294 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU8  raw=9442557952 ena=220964335 run=220964335 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU8  raw=5695230 ena=219510084 run=151928953 ratio=0.00 cycles
CPU8  raw=539383 ena=219503076 run=151906987 ratio=0.00 instructions
CPU9  raw=1114551 ena=218726868 run=18446744073571221486 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU9  raw=1116866 ena=218865102 run=18446744073571120655 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU9  raw=494757 ena=218729090 run=18446744073570239767 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU9  raw=496632 ena=218867379 run=18446744073570133662 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU9  raw=5845673 ena=219523396 run=151976630 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU9  raw=476122 ena=219520338 run=151950529 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU9  raw=4226166 ena=219544598 run=151980017 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU9  raw=8352 ena=219557501 run=152006487 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU9  raw=4724042 ena=219554819 run=151997926 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU9  raw=1054 ena=219552674 run=152052141 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU9  raw=24 ena=219548232 run=152038387 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU9  raw=1089 ena=219543471 run=152039029 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU9  raw=105 ena=219536260 run=135103659 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU9  raw=40782 ena=219529825 run=135070342 ratio=0.00 hsw_ep::ICACHE:misses
CPU9  raw=641689 ena=219523093 run=152918114 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU9  raw=34863054848 ena=220925977 run=220925977 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU9  raw=9442557952 ena=220927302 run=220927302 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU9  raw=5786508 ena=219478133 run=151957018 ratio=0.00 cycles
CPU9  raw=628684 ena=219471108 run=151915842 ratio=0.00 instructions
CPU10  raw=1091661 ena=218703801 run=18446744073570902908 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU10  raw=1093202 ena=218841529 run=18446744073570795564 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU10  raw=476729 ena=218710029 run=18446744073569918648 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
