iter 1
t_rhs     -----------start-------------
CPU12  raw=430 ena=5426359 run=1425557 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU12  raw=47 ena=5413576 run=2365792 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU12  raw=179 ena=5412157 run=2389451 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
CPU12  raw=390925 ena=5451636 run=1457993 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED
CPU12  raw=42189 ena=5446893 run=2112387 ratio=0.00 hsw_ep::CPU_CLK_UNHALTED:REF_XCLK
CPU12  raw=552492 ena=5394157 run=3067728 ratio=0.00 hsw_ep::UOPS_ISSUED
CPU12  raw=4000 ena=5387202 run=4052667 ratio=0.00 hsw_ep::UOPS_ISSUED:FLAGS_MERGE
CPU12  raw=765598 ena=5380026 run=5041917 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU12  raw=371 ena=5374501 run=5374501 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU12  raw=2071 ena=5370669 run=5370669 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU12  raw=369 ena=5365692 run=5365692 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU12  raw=1247 ena=5360781 run=4353287 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU12  raw=707 ena=5356383 run=3367865 ratio=0.00 hsw_ep::ICACHE:misses
CPU12  raw=352605 ena=5353334 run=4361815 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU12  raw=699924480 ena=5376486 run=5376486 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU12  raw=120913920 ena=5376326 run=5376326 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU12  raw=381417 ena=5349646 run=2381802 ratio=0.00 cycles
CPU12  raw=130176 ena=5346265 run=1394028 ratio=0.00 instructions
