ep        -----------start-------------
CPU11  raw=46953232116 ena=41555688525 run=28768059581 ratio=0.00 hsw_ep::UOPS_RETIRED:ALL
CPU11  raw=4612404 ena=41555684570 run=28768969515 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS_LOCAL
CPU11  raw=18482 ena=41555684225 run=28773210059 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_0:L3_MISS
CPU11  raw=4608665 ena=41555679267 run=28776459819 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS_LOCAL
CPU11  raw=16520 ena=41555674323 run=25580178974 ratio=0.00 hsw_ep::OFFCORE_RESPONSE_1:L3_MISS
CPU11  raw=2816878 ena=41555667902 run=25574767282 ratio=0.00 hsw_ep::ICACHE:misses
CPU11  raw=39844657578 ena=41555663439 run=28769427132 ratio=0.00 hsw_ep::INSTRUCTION_RETIRED
CPU11  raw=7255460151296 ena=41841801250 run=41841801250 ratio=0.00 rapl::RAPL_ENERGY_PKG
CPU11  raw=973739655168 ena=41841801142 run=41841801142 ratio=0.00 rapl::RAPL_ENERGY_DRAM
CPU11  raw=34101922969 ena=41555657332 run=28762275056 ratio=0.00 cycles
CPU11  raw=39838364093 ena=41555650984 run=28761135844 ratio=0.00 instructions
CPU12  raw=462844 ena=41226701549 run=18446744051373576857 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:RD
CPU12  raw=21304 ena=41265433458 run=18446744051358286081 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:RD
CPU12  raw=455631 ena=41226684075 run=18446744051370440855 ratio=0.00 hswep_unc_imc0::UNC_M_CAS_COUNT:WR
CPU12  raw=8005 ena=41265419927 run=18446744051355440774 ratio=0.00 hswep_unc_imc1::UNC_M_CAS_COUNT:WR
